datetime,season,year,month,day,dow,hour,holiday,workingday,weather,temp,atemp,humidity,windspeed,regrate,count,casual,registered
2011-1-2 10:00,1,2011,1,2,1,10,0,0,2,14.76,17.425,81,15.0013,86.792,53,7,46
2011-1-2 11:00,1,2011,1,2,1,11,0,0,2,14.76,16.665,71,16.9979,77.143,70,16,54
2011-1-2 12:00,1,2011,1,2,1,12,0,0,2,14.76,16.665,66,19.9995,78.495,93,20,73
2011-1-2 13:00,1,2011,1,2,1,13,0,0,2,14.76,17.425,66,8.9981,85.333,75,11,64
2011-1-2 14:00,1,2011,1,2,1,14,0,0,3,14.76,17.425,76,12.998,93.22,59,4,55
2011-1-2 15:00,1,2011,1,2,1,15,0,0,3,13.94,16.665,81,11.0014,74.324,74,19,55
2011-1-2 16:00,1,2011,1,2,1,16,0,0,3,13.94,16.665,71,11.0014,88.158,76,9,67
2011-1-2 17:00,1,2011,1,2,1,17,0,0,1,13.94,16.665,57,12.998,89.231,65,7,58
2011-1-2 18:00,1,2011,1,2,1,18,0,0,2,14.76,16.665,46,22.0028,81.132,53,10,43
2011-1-2 19:00,1,2011,1,2,1,19,0,0,1,13.12,14.395,42,30.0026,96.667,30,1,29
2011-1-2 20:00,1,2011,1,2,1,20,0,0,1,12.3,13.635,39,23.9994,77.273,22,5,17
2011-1-2 21:00,1,2011,1,2,1,21,0,0,1,10.66,11.365,44,22.0028,64.516,31,11,20
2011-1-2 22:00,1,2011,1,2,1,22,0,0,1,9.84,10.605,44,19.9995,100,9,0,9
2011-1-2 23:00,1,2011,1,2,1,23,0,0,1,9.02,11.365,47,11.0014,100,8,0,8
2011-1-3 0:00,1,2011,1,3,2,0,0,1,1,9.02,9.85,44,23.9994,100,5,0,5
2011-1-3 1:00,1,2011,1,3,2,1,0,1,1,8.2,8.335,44,27.9993,100,2,0,2
2011-1-3 4:00,1,2011,1,3,2,4,0,1,1,6.56,6.82,47,26.0027,100,1,0,1
2011-1-3 5:00,1,2011,1,3,2,5,0,1,1,6.56,6.82,47,19.0012,100,3,0,3
2011-1-3 6:00,1,2011,1,3,2,6,0,1,1,5.74,5.305,50,26.0027,100,30,0,30
2011-1-3 7:00,1,2011,1,3,2,7,0,1,1,5.74,6.82,50,12.998,98.438,64,1,63
2011-1-3 8:00,1,2011,1,3,2,8,0,1,1,5.74,6.06,50,19.0012,99.351,154,1,153
2011-1-3 9:00,1,2011,1,3,2,9,0,1,1,6.56,6.82,43,26.0027,92.045,88,7,81
2011-1-3 10:00,1,2011,1,3,2,10,0,1,1,7.38,8.335,43,16.9979,75,44,11,33
2011-1-3 11:00,1,2011,1,3,2,11,0,1,1,8.2,9.09,40,22.0028,80.392,51,10,41
2011-1-3 12:00,1,2011,1,3,2,12,0,1,1,9.02,10.605,35,19.9995,78.689,61,13,48
2011-1-3 13:00,1,2011,1,3,2,13,0,1,1,9.84,10.605,35,19.0012,86.885,61,8,53
2011-1-3 14:00,1,2011,1,3,2,14,0,1,1,10.66,12.12,30,19.0012,85.714,77,11,66
2011-1-3 15:00,1,2011,1,3,2,15,0,1,1,10.66,12.12,30,16.9979,80.556,72,14,58
2011-1-3 16:00,1,2011,1,3,2,16,0,1,1,10.66,12.12,30,16.9979,88.158,76,9,67
2011-1-3 17:00,1,2011,1,3,2,17,0,1,1,9.84,11.365,30,15.0013,92.994,157,11,146
2011-1-3 18:00,1,2011,1,3,2,18,0,1,1,9.84,12.88,32,7.0015,94.268,157,9,148
2011-1-3 19:00,1,2011,1,3,2,19,0,1,1,8.2,12.88,47,0,92.727,110,8,102
2011-1-3 20:00,1,2011,1,3,2,20,0,1,1,8.2,11.365,47,7.0015,94.231,52,3,49
2011-1-3 21:00,1,2011,1,3,2,21,0,1,1,7.38,9.85,64,8.9981,94.231,52,3,49
2011-1-3 22:00,1,2011,1,3,2,22,0,1,1,5.74,7.575,69,8.9981,100,20,0,20
2011-1-3 23:00,1,2011,1,3,2,23,0,1,1,7.38,10.605,55,7.0015,91.667,12,1,11
2011-1-4 0:00,1,2011,1,4,3,0,0,1,1,6.56,9.09,55,7.0015,100,5,0,5
2011-1-4 1:00,1,2011,1,4,3,1,0,1,1,6.56,9.09,59,7.0015,100,2,0,2
2011-1-4 2:00,1,2011,1,4,3,2,0,1,1,5.74,7.575,63,8.9981,100,1,0,1
2011-1-4 4:00,1,2011,1,4,3,4,0,1,1,5.74,9.09,63,6.0032,100,2,0,2
2011-1-4 5:00,1,2011,1,4,3,5,0,1,1,4.92,7.575,68,7.0015,100,4,0,4
2011-1-4 6:00,1,2011,1,4,3,6,0,1,1,4.92,7.575,74,7.0015,100,36,0,36
2011-1-4 7:00,1,2011,1,4,3,7,0,1,1,4.92,7.575,74,8.9981,97.872,94,2,92
2011-1-4 8:00,1,2011,1,4,3,8,0,1,1,5.74,7.575,69,11.0014,98.883,179,2,177
2011-1-4 9:00,1,2011,1,4,3,9,0,1,1,6.56,7.575,64,15.0013,98,100,2,98
2011-1-4 10:00,1,2011,1,4,3,10,0,1,2,6.56,6.82,69,22.0028,88.095,42,5,37
2011-1-4 11:00,1,2011,1,4,3,11,0,1,1,9.02,10.605,51,19.9995,87.719,57,7,50
2011-1-4 12:00,1,2011,1,4,3,12,0,1,1,9.02,11.365,51,11.0014,84.615,78,12,66
2011-1-4 13:00,1,2011,1,4,3,13,0,1,1,9.84,11.365,56,12.998,81.443,97,18,79
2011-1-4 14:00,1,2011,1,4,3,14,0,1,1,10.66,12.88,52,15.0013,85.714,63,9,54
2011-1-4 15:00,1,2011,1,4,3,15,0,1,1,11.48,13.635,52,16.9979,73.846,65,17,48
2011-1-4 16:00,1,2011,1,4,3,16,0,1,1,12.3,14.395,49,16.9979,81.928,83,15,68
2011-1-4 17:00,1,2011,1,4,3,17,0,1,1,11.48,13.635,48,15.0013,95.283,212,10,202
2011-1-4 18:00,1,2011,1,4,3,18,0,1,1,10.66,12.88,48,12.998,98.352,182,3,179
2011-1-4 19:00,1,2011,1,4,3,19,0,1,1,9.84,12.88,48,7.0015,98.214,112,2,110
2011-1-4 20:00,1,2011,1,4,3,20,0,1,1,9.84,12.88,48,7.0015,98.148,54,1,53
2011-1-4 21:00,1,2011,1,4,3,21,0,1,1,9.02,13.635,64,0,100,48,0,48
2011-1-4 22:00,1,2011,1,4,3,22,0,1,1,9.02,12.88,64,6.0032,97.143,35,1,34
2011-1-4 23:00,1,2011,1,4,3,23,0,1,1,8.2,11.365,69,6.0032,81.818,11,2,9
2011-1-5 0:00,1,2011,1,5,4,0,0,1,1,8.2,12.88,64,0,100,6,0,6
2011-1-5 1:00,1,2011,1,5,4,1,0,1,1,6.56,9.85,74,6.0032,100,6,0,6
2011-1-5 2:00,1,2011,1,5,4,2,0,1,1,6.56,9.85,74,6.0032,100,2,0,2
2011-1-5 4:00,1,2011,1,5,4,4,0,1,1,9.84,11.365,48,15.0013,100,2,0,2
2011-1-5 5:00,1,2011,1,5,4,5,0,1,1,9.02,11.365,47,11.0014,100,3,0,3
2011-1-5 6:00,1,2011,1,5,4,6,0,1,1,8.2,9.85,47,15.0013,100,33,0,33
2011-1-5 7:00,1,2011,1,5,4,7,0,1,1,7.38,9.09,43,12.998,98.864,88,1,87
2011-1-5 8:00,1,2011,1,5,4,8,0,1,1,8.2,9.09,40,19.9995,98.462,195,3,192
2011-1-5 9:00,1,2011,1,5,4,9,0,1,1,9.02,9.85,37,22.0028,94.783,115,6,109
2011-1-5 10:00,1,2011,1,5,4,10,0,1,1,9.02,9.85,37,22.0028,92.982,57,4,53
2011-1-5 11:00,1,2011,1,5,4,11,0,1,1,10.66,11.365,33,22.0028,73.913,46,12,34
2011-1-5 12:00,1,2011,1,5,4,12,0,1,1,10.66,11.365,33,22.0028,93.671,79,5,74
2011-1-5 13:00,1,2011,1,5,4,13,0,1,1,11.48,12.88,30,19.9995,91.549,71,6,65
2011-1-5 14:00,1,2011,1,5,4,14,0,1,1,12.3,14.395,28,12.998,83.871,62,10,52
2011-1-5 15:00,1,2011,1,5,4,15,0,1,1,12.3,14.395,28,12.998,88.71,62,7,55
2011-1-5 16:00,1,2011,1,5,4,16,0,1,1,12.3,15.91,28,6.0032,95.506,89,4,85
2011-1-5 17:00,1,2011,1,5,4,17,0,1,1,9.84,11.365,38,12.998,97.895,190,4,186
2011-1-5 18:00,1,2011,1,5,4,18,0,1,1,9.84,12.12,38,8.9981,98.225,169,3,166
2011-1-5 19:00,1,2011,1,5,4,19,0,1,1,9.84,12.88,38,7.0015,96.212,132,5,127
2011-1-5 20:00,1,2011,1,5,4,20,0,1,1,9.02,11.365,47,11.0014,92.135,89,7,82
2011-1-5 21:00,1,2011,1,5,4,21,0,1,1,8.2,9.85,51,12.998,93.023,43,3,40
2011-1-5 22:00,1,2011,1,5,4,22,0,1,1,7.38,9.85,55,8.9981,97.619,42,1,41
2011-1-5 23:00,1,2011,1,5,4,23,0,1,1,8.2,12.88,47,0,94.737,19,1,18
2011-1-6 0:00,1,2011,1,6,5,0,0,1,1,7.38,12.12,55,0,100,11,0,11
2011-1-6 1:00,1,2011,1,6,5,1,0,1,1,6.56,11.365,64,0,100,4,0,4
2011-1-6 2:00,1,2011,1,6,5,2,0,1,1,6.56,11.365,64,0,100,2,0,2
2011-1-6 4:00,1,2011,1,6,5,4,0,1,2,6.56,9.85,64,6.0032,100,1,0,1
2011-1-6 5:00,1,2011,1,6,5,5,0,1,2,5.74,9.09,69,6.0032,100,4,0,4
2011-1-6 6:00,1,2011,1,6,5,6,0,1,2,5.74,8.335,63,7.0015,100,36,0,36
2011-1-6 7:00,1,2011,1,6,5,7,0,1,2,6.56,11.365,59,0,100,95,0,95
2011-1-6 8:00,1,2011,1,6,5,8,0,1,1,6.56,11.365,59,0,98.63,219,3,216
2011-1-6 9:00,1,2011,1,6,5,9,0,1,2,7.38,12.12,51,0,95.082,122,6,116
2011-1-6 10:00,1,2011,1,6,5,10,0,1,1,8.2,12.88,47,0,93.333,45,3,42
2011-1-6 11:00,1,2011,1,6,5,11,0,1,1,9.02,12.88,44,6.0032,96.61,59,2,57
2011-1-6 12:00,1,2011,1,6,5,12,0,1,1,10.66,14.395,35,0,92.857,84,6,78
2011-1-6 13:00,1,2011,1,6,5,13,0,1,1,10.66,13.635,35,7.0015,82.09,67,12,55
2011-1-6 14:00,1,2011,1,6,5,14,0,1,1,11.48,13.635,36,11.0014,84.286,70,11,59
2011-1-6 15:00,1,2011,1,6,5,15,0,1,1,11.48,13.635,36,0,87.097,62,8,54
2011-1-6 16:00,1,2011,1,6,5,16,0,1,1,10.66,12.88,38,11.0014,86.047,86,12,74
2011-1-6 17:00,1,2011,1,6,5,17,0,1,1,9.02,11.365,51,11.0014,94.767,172,9,163
2011-1-6 18:00,1,2011,1,6,5,18,0,1,1,9.02,11.365,51,8.9981,96.933,163,5,158
2011-1-6 19:00,1,2011,1,6,5,19,0,1,1,9.02,12.88,55,6.0032,97.321,112,3,109
2011-1-6 20:00,1,2011,1,6,5,20,0,1,1,8.2,10.605,51,11.0014,95.652,69,3,66
2011-1-6 21:00,1,2011,1,6,5,21,0,1,2,9.02,10.605,55,15.0013,100,48,0,48
2011-1-6 22:00,1,2011,1,6,5,22,0,1,2,9.02,10.605,51,19.0012,98.077,52,1,51
2011-1-6 23:00,1,2011,1,6,5,23,0,1,2,8.2,9.85,59,12.998,82.609,23,4,19
2011-1-7 0:00,1,2011,1,7,6,0,0,1,2,8.2,9.85,64,12.998,76.471,17,4,13
2011-1-7 1:00,1,2011,1,7,6,1,0,1,2,8.2,9.85,69,15.0013,71.429,7,2,5
2011-1-7 2:00,1,2011,1,7,6,2,0,1,2,8.2,9.85,69,15.0013,100,1,0,1
2011-1-7 4:00,1,2011,1,7,6,4,0,1,2,8.2,10.605,69,8.9981,100,1,0,1
2011-1-7 5:00,1,2011,1,7,6,5,0,1,3,9.02,13.635,55,0,100,5,0,5
2011-1-7 6:00,1,2011,1,7,6,6,0,1,2,8.2,12.88,69,0,76.471,34,8,26
2011-1-7 7:00,1,2011,1,7,6,7,0,1,1,8.2,10.605,69,8.9981,90.476,84,8,76
2011-1-7 8:00,1,2011,1,7,6,8,0,1,1,8.2,9.85,51,16.9979,90.476,210,20,190
2011-1-7 9:00,1,2011,1,7,6,9,0,1,1,8.2,9.09,47,19.9995,93.284,134,9,125
2011-1-7 10:00,1,2011,1,7,6,10,0,1,1,9.02,9.85,37,22.0028,74.603,63,16,47
2011-1-7 11:00,1,2011,1,7,6,11,0,1,2,8.2,9.85,40,15.0013,71.642,67,19,48
2011-1-7 12:00,1,2011,1,7,6,12,0,1,2,8.2,9.85,37,16.9979,84.746,59,9,50
2011-1-7 13:00,1,2011,1,7,6,13,0,1,2,8.2,9.09,37,19.0012,87.671,73,9,64
2011-1-7 14:00,1,2011,1,7,6,14,0,1,2,8.2,9.85,40,16.9979,86,50,7,43
2011-1-7 15:00,1,2011,1,7,6,15,0,1,2,8.2,10.605,37,11.0014,87.5,72,9,63
2011-1-7 16:00,1,2011,1,7,6,16,0,1,2,8.2,10.605,37,11.0014,94.253,87,5,82
2011-1-7 17:00,1,2011,1,7,6,17,0,1,2,8.2,12.88,37,0,95.187,187,9,178
2011-1-7 18:00,1,2011,1,7,6,18,0,1,1,8.2,11.365,40,6.0032,94.309,123,7,116
2011-1-7 19:00,1,2011,1,7,6,19,0,1,1,6.56,9.85,55,6.0032,96.842,95,3,92
2011-1-7 20:00,1,2011,1,7,6,20,0,1,1,7.38,10.605,47,7.0015,98.039,51,1,50
2011-1-7 21:00,1,2011,1,7,6,21,0,1,1,7.38,9.85,47,8.9981,100,39,0,39
2011-1-7 22:00,1,2011,1,7,6,22,0,1,2,7.38,9.85,43,11.0014,94.444,36,2,34
2011-1-7 23:00,1,2011,1,7,6,23,0,1,2,7.38,9.85,51,11.0014,93.333,15,1,14
2011-1-8 0:00,1,2011,1,8,7,0,0,0,2,7.38,9.85,51,11.0014,96,25,1,24
2011-1-8 1:00,1,2011,1,8,7,1,0,0,2,7.38,10.605,55,6.0032,93.75,16,1,15
2011-1-8 2:00,1,2011,1,8,7,2,0,0,2,7.38,12.12,55,0,81.25,16,3,13
2011-1-8 3:00,1,2011,1,8,7,3,0,0,3,7.38,9.85,55,11.0014,100,7,0,7
2011-1-8 4:00,1,2011,1,8,7,4,0,0,3,7.38,9.85,55,11.0014,100,1,0,1
2011-1-8 5:00,1,2011,1,8,7,5,0,0,2,6.56,8.335,74,11.0014,100,5,0,5
2011-1-8 6:00,1,2011,1,8,7,6,0,0,2,6.56,8.335,74,11.0014,100,2,0,2
2011-1-8 7:00,1,2011,1,8,7,7,0,0,2,6.56,9.09,74,7.0015,88.889,9,1,8
2011-1-8 8:00,1,2011,1,8,7,8,0,0,3,6.56,9.09,93,7.0015,100,15,0,15
2011-1-8 9:00,1,2011,1,8,7,9,0,0,3,6.56,9.09,93,7.0015,100,20,0,20
2011-1-8 10:00,1,2011,1,8,7,10,0,0,2,7.38,9.85,80,11.0014,91.803,61,5,56
2011-1-8 11:00,1,2011,1,8,7,11,0,0,2,8.2,9.09,69,26.0027,96.774,62,2,60
2011-1-8 12:00,1,2011,1,8,7,12,0,0,2,8.2,9.09,59,23.9994,91.837,98,8,90
2011-1-8 13:00,1,2011,1,8,7,13,0,0,1,8.2,9.09,44,22.0028,93.137,102,7,95
2011-1-8 14:00,1,2011,1,8,7,14,0,0,1,8.2,8.335,32,32.9975,87.368,95,12,83
2011-1-8 15:00,1,2011,1,8,7,15,0,0,1,8.2,8.335,32,30.0026,93.243,74,5,69
2011-1-8 16:00,1,2011,1,8,7,16,0,0,1,7.38,6.82,29,30.0026,89.474,76,8,68
2011-1-8 17:00,1,2011,1,8,7,17,0,0,1,6.56,6.06,37,36.9974,92.754,69,5,64
2011-1-8 18:00,1,2011,1,8,7,18,0,0,1,5.74,6.06,39,19.9995,94.545,55,3,52
2011-1-8 19:00,1,2011,1,8,7,19,0,0,1,5.74,6.06,36,16.9979,86.667,30,4,26
2011-1-8 20:00,1,2011,1,8,7,20,0,0,1,4.92,6.06,36,16.9979,100,28,0,28
2011-1-8 21:00,1,2011,1,8,7,21,0,0,1,4.92,5.305,39,23.9994,94.595,37,2,35
2011-1-8 22:00,1,2011,1,8,7,22,0,0,1,4.92,5.305,36,26.0027,97.059,34,1,33
2011-1-8 23:00,1,2011,1,8,7,23,0,0,1,4.1,3.03,39,30.0026,100,22,0,22
2011-1-9 0:00,1,2011,1,9,1,0,0,0,1,4.1,3.79,42,26.0027,96,25,1,24
2011-1-9 1:00,1,2011,1,9,1,1,0,0,1,4.1,3.03,42,31.0009,100,12,0,12
2011-1-9 2:00,1,2011,1,9,1,2,0,0,1,4.1,3.03,46,31.0009,100,11,0,11
2011-1-9 3:00,1,2011,1,9,1,3,0,0,1,4.1,3.79,46,27.9993,100,4,0,4
2011-1-9 4:00,1,2011,1,9,1,4,0,0,1,3.28,4.545,53,12.998,100,1,0,1
2011-1-9 5:00,1,2011,1,9,1,5,0,0,1,3.28,4.545,53,12.998,100,1,0,1
2011-1-9 6:00,1,2011,1,9,1,6,0,0,1,4.1,4.545,49,19.0012,100,1,0,1
2011-1-9 7:00,1,2011,1,9,1,7,0,0,1,3.28,4.545,53,12.998,83.333,6,1,5
2011-1-9 8:00,1,2011,1,9,1,8,0,0,1,4.1,4.545,49,19.0012,100,10,0,10
2011-1-9 9:00,1,2011,1,9,1,9,0,0,1,4.92,3.79,46,35.0008,100,19,0,19
2011-1-9 10:00,1,2011,1,9,1,10,0,0,1,5.74,5.305,43,26.0027,100,49,0,49
2011-1-9 11:00,1,2011,1,9,1,11,0,0,1,6.56,6.06,40,35.0008,95.918,49,2,47
2011-1-9 12:00,1,2011,1,9,1,12,0,0,1,7.38,6.82,37,30.0026,95.181,83,4,79
2011-1-9 13:00,1,2011,1,9,1,13,0,0,1,8.2,8.335,34,30.0026,92,75,6,69
2011-1-9 14:00,1,2011,1,9,1,14,0,0,1,9.02,9.09,32,31.0009,88.889,72,8,64
2011-1-9 15:00,1,2011,1,9,1,15,0,0,1,9.02,9.85,35,23.9994,93.902,82,5,77
2011-1-9 16:00,1,2011,1,9,1,16,0,0,1,8.2,8.335,34,30.0026,85.87,92,13,79
2011-1-9 17:00,1,2011,1,9,1,17,0,0,1,7.38,7.575,37,26.0027,95.161,62,3,59
2011-1-9 18:00,1,2011,1,9,1,18,0,0,1,6.56,6.82,40,22.0028,91.667,48,4,44
2011-1-9 19:00,1,2011,1,9,1,19,0,0,1,6.56,6.82,43,22.0028,97.561,41,1,40
2011-1-9 20:00,1,2011,1,9,1,20,0,0,1,5.74,6.06,46,16.9979,100,38,0,38
2011-1-9 21:00,1,2011,1,9,1,21,0,0,1,5.74,5.305,46,27.9993,95,20,1,19
2011-1-9 22:00,1,2011,1,9,1,22,0,0,1,5.74,6.06,46,19.9995,66.667,15,5,10
2011-1-9 23:00,1,2011,1,9,1,23,0,0,1,4.92,6.82,50,12.998,100,6,0,6
2011-1-10 0:00,1,2011,1,10,2,0,0,1,1,4.92,6.06,50,19.0012,60,5,2,3
2011-1-10 1:00,1,2011,1,10,2,1,0,1,1,4.92,6.06,50,19.0012,0,1,1,0
2011-1-10 2:00,1,2011,1,10,2,2,0,1,1,4.92,6.06,50,15.0013,100,3,0,3
2011-1-10 3:00,1,2011,1,10,2,3,0,1,1,4.92,6.06,50,15.0013,100,1,0,1
2011-1-10 4:00,1,2011,1,10,2,4,0,1,1,4.1,6.06,54,8.9981,66.667,3,1,2
2011-1-10 5:00,1,2011,1,10,2,5,0,1,1,4.1,5.305,54,16.9979,100,3,0,3
2011-1-10 6:00,1,2011,1,10,2,6,0,1,1,4.92,6.06,50,19.0012,100,31,0,31
2011-1-10 7:00,1,2011,1,10,2,7,0,1,1,4.92,6.06,50,15.0013,97.403,77,2,75
2011-1-10 8:00,1,2011,1,10,2,8,0,1,2,4.92,6.06,50,19.0012,97.872,188,4,184
2011-1-10 9:00,1,2011,1,10,2,9,0,1,2,5.74,6.06,50,16.9979,97.872,94,2,92
2011-1-10 10:00,1,2011,1,10,2,10,0,1,2,5.74,6.06,50,19.9995,100,31,0,31
2011-1-10 11:00,1,2011,1,10,2,11,0,1,2,6.56,6.82,47,19.0012,93.333,30,2,28
2011-1-10 12:00,1,2011,1,10,2,12,0,1,2,8.2,9.09,40,19.0012,90.385,52,5,47
2011-1-10 13:00,1,2011,1,10,2,13,0,1,2,8.2,9.09,40,19.0012,92.593,54,4,50
2011-1-10 14:00,1,2011,1,10,2,14,0,1,2,8.2,9.85,40,15.0013,100,47,0,47
2011-1-10 15:00,1,2011,1,10,2,15,0,1,2,8.2,9.85,40,15.0013,95.556,45,2,43
2011-1-10 16:00,1,2011,1,10,2,16,0,1,1,8.2,10.605,40,8.9981,94.595,74,4,70
2011-1-10 17:00,1,2011,1,10,2,17,0,1,1,8.2,11.365,40,7.0015,97.753,178,4,174
2011-1-10 18:00,1,2011,1,10,2,18,0,1,1,8.2,9.85,40,15.0013,99.355,155,1,154
2011-1-10 19:00,1,2011,1,10,2,19,0,1,1,6.56,8.335,47,11.0014,96.842,95,3,92
2011-1-10 20:00,1,2011,1,10,2,20,0,1,1,6.56,8.335,50,11.0014,98.649,74,1,73
2011-1-10 21:00,1,2011,1,10,2,21,0,1,1,5.74,6.82,59,12.998,97.368,38,1,37
2011-1-10 22:00,1,2011,1,10,2,22,0,1,1,5.74,7.575,59,11.0014,91.667,24,2,22
2011-1-10 23:00,1,2011,1,10,2,23,0,1,1,5.74,7.575,59,11.0014,100,18,0,18
2011-1-11 0:00,1,2011,1,11,3,0,0,1,1,5.74,8.335,59,7.0015,83.333,12,2,10
2011-1-11 1:00,1,2011,1,11,3,1,0,1,1,5.74,7.575,59,11.0014,100,3,0,3
2011-1-11 2:00,1,2011,1,11,3,2,0,1,2,6.56,7.575,55,12.998,100,3,0,3
2011-1-11 5:00,1,2011,1,11,3,5,0,1,2,6.56,9.09,55,8.9981,100,6,0,6
2011-1-11 6:00,1,2011,1,11,3,6,0,1,2,6.56,9.09,55,8.9981,100,27,0,27
2011-1-11 7:00,1,2011,1,11,3,7,0,1,2,6.56,11.365,55,0,97.98,99,2,97
2011-1-11 8:00,1,2011,1,11,3,8,0,1,2,7.38,10.605,51,6.0032,98.618,217,3,214
2011-1-11 9:00,1,2011,1,11,3,9,0,1,2,7.38,9.85,51,11.0014,97.692,130,3,127
2011-1-11 10:00,1,2011,1,11,3,10,0,1,2,8.2,10.605,51,11.0014,94.444,54,3,51
2011-1-11 11:00,1,2011,1,11,3,11,0,1,2,8.2,10.605,47,8.9981,88.571,35,4,31
2011-1-11 12:00,1,2011,1,11,3,12,0,1,2,8.2,11.365,51,7.0015,96.491,57,2,55
2011-1-11 13:00,1,2011,1,11,3,13,0,1,2,8.2,11.365,59,6.0032,88.462,52,6,46
2011-1-11 14:00,1,2011,1,11,3,14,0,1,2,8.2,11.365,59,6.0032,95.238,63,3,60
2011-1-11 15:00,1,2011,1,11,3,15,0,1,2,6.56,9.85,80,6.0032,95.745,47,2,45
2011-1-11 16:00,1,2011,1,11,3,16,0,1,2,6.56,7.575,86,15.0013,94.737,76,4,72
2011-1-11 17:00,1,2011,1,11,3,17,0,1,2,6.56,7.575,86,15.0013,95.588,136,6,130
2011-1-11 18:00,1,2011,1,11,3,18,0,1,3,6.56,9.09,93,7.0015,98.947,95,1,94
2011-1-11 19:00,1,2011,1,11,3,19,0,1,3,6.56,11.365,93,0,100,51,0,51
2011-1-11 20:00,1,2011,1,11,3,20,0,1,3,6.56,7.575,93,12.998,100,32,0,32
2011-1-11 21:00,1,2011,1,11,3,21,0,1,3,6.56,9.85,86,6.0032,100,20,0,20
2011-1-11 22:00,1,2011,1,11,3,22,0,1,3,6.56,9.09,93,7.0015,96.552,29,1,28
2011-1-11 23:00,1,2011,1,11,3,23,0,1,3,6.56,9.85,93,6.0032,94.737,19,1,18
2011-1-12 0:00,1,2011,1,12,4,0,0,1,2,6.56,9.85,86,6.0032,100,7,0,7
2011-1-12 1:00,1,2011,1,12,4,1,0,1,2,6.56,9.09,86,7.0015,100,6,0,6
